time,tweet,CleanTweets
2022-08-08 05:19:32+00:00,@RakaVS @PosIndonesia Kayak gini mas.. https://t.co/9nwo9hXzol,abang
2022-07-21 14:34:07+00:00,@nctjoel Mas mas pos indonesia. Beneran galeri lu tuh lebih banyak meme daripada foto muse?😔,abang abang pos indonesia benar galeri lebih banyak
2022-07-09 11:53:18+00:00,"@Fauzanel_ @SamsatDigital Mas Fauzan
Cek sj nomor resinya atau hub. cs pos apakah dokumen sdh diterima oleh pos dan dikrm atau blm
Krn menurut SOP @PosIndonesia
Batas waktu penyampaian keluhan adalah 3 bln terhitung dari tgl krm
Samsat g mau tanggung jawab
Pos jg angkat tangan
Yg bayar pajak ditelantarkan https://t.co/aAXqhYv5kd",abang cek saja nomor hubung layan langgan pos dokumen sudah terima pos belum sop batas waktu sampai keluh bulan hitung tanggal kirim tidak mau tanggung jawab pos angkat tangan bayar pajak telantar
2022-07-11 06:22:46+00:00,"@PosIndonesia Kata mas2 yg di nomor itu ga ada min paketannya. Ini ya kalo aja status paket pas sy cek itu up to date, sy ga bakalan nanya2. Ini status di web ga update dr tggl 4 ya bingung jg minta kejelasan dr mana 😒",abang nomor tidak administrator paket ya saja status paket pas cek tidak tanya status situs tidak baru ya bingung jelas mana
2022-08-02 00:10:13+00:00,"@barijoe Mas, saran saya langsung complain ke @/PosIndonesia. Bahaya banget tuh copy KTP ditempel depan paket.",abang saran langsung komplain bahaya banget ktp tempel depan paket
2022-07-18 06:54:23+00:00,"@PosIndonesia @Renitaksnd Mas -Ray itu kelamaan ga si..
komplen kapan coba..",abang tidak si komplain coba
2022-09-18 15:14:00+00:00,@PosIndonesia apakah mengadakan kuis lewat WA? https://t.co/jPrVQrgHEV,ada kuis lewat whatsapp
2022-09-09 13:56:50+00:00,@PosIndonesia min kalo pengambilan dana blt region bandung sampai kapan ya batas pengambilan dananya ?,administrator ambil dana bandung sampai ya batas ambil dana
2022-08-02 12:12:25+00:00,@PosIndonesia @barijoe Ini adminnya anak magang ya?,administrator anak magang ya
2022-08-14 05:05:10+00:00,"Min @PosIndonesia , minta bantuan dong barusan saya lacak kiriman dokumen, keterangannya “sudah di terima oleh penerima” pada tanggal 13 Agustus 2022

Sedangkan sampai dengan saat ini saya sebagai penerima paket belum menerima dokumennya
Mohon bantuannya min",administrator bantu barusan lacak kirim dokumen terang sudah terima terima tanggal agustus sampai terima paket belum terima mohon administrator
2022-08-02 14:58:46+00:00,"@PosIndonesia Admin bantu Tracking 
No Resi 
P2207270008309
Barang sudah dimana ya
(MOTOR)
Trims Min 🙏",administrator bantu lacak nomor resi barang sudah mana ya motor terima kasih administrator
2022-07-23 10:11:54+00:00,@PosIndonesia Min barang saya gagal kirim,administrator barang gagal kirim
2022-07-20 01:54:29+00:00,"@kwangyaselling @PosIndonesia @IndonesiaGaruda @PosIndonesia min. Yg handle sejak barang sampai itu siapa? Pihak @garuda_cargo bilang tgl 15 udh d jkt. Lalu, 5 hri ini dihandle siapa klo pos pun blm nerima. Apakah antri load dr gudang atau gmn ya?",administrator barang sampai bilang tanggal sudah jakarta hari tangan pos belum terima antre gudang ya
2022-07-07 05:17:49+00:00,"@PosIndonesia min barang saya dari tgl 4 diterima conter cabang pamekasan madura kok gak jalan jalan sampai saat ini tgl 7 ?
Tolong respon min",administrator barang tanggal terima cabang tidak jalan jalan sampai tanggal tolong respons administrator
