time,tweet,CleanTweets
2020-12-17 05:05:14+00:00,"@ninja_xpress_id @ShopeeID Min bisa cek resi saya dr kemarin ga gerak2
TKNX658045319-0 itu resinya",administrator bisa cek resi kemarin tidak gerak
2020-10-31 04:35:15+00:00,"@ninja_xpress_id @ShopeeID Min, mohon reply DM saya",administrator mohon balas pesan langsung
2020-12-19 23:30:54+00:00,"@ninja_xpress_id @ShopeeID Min, mohon di cek, resi saya yang ini SHP6467342218 dari kemarin lusa tidak ada pergerakan. Terima kasih.",administrator mohon cek resi kemarin lusa tidak gerak terima kasih
2020-10-29 00:26:49+00:00,@zeusjaeyoung @ShopeeID @ninja_xpress_id Amiiinn doainn yaa😭😭,amin ya
2020-10-21 22:23:47+00:00,"BROOOO
Paket gw kemana dah? Ini udah dua hari blm gw terima sampe gw lupa dan di shopee udh auto received.
Who the heck is bambang? None of my family is bambang.

Tuh, resinya udah gua cantumin sekalian.
Gw minta tanggung jawab ya.

@ninja_xpress_id https://t.co/elAxGm9XkD",bang paket mana sudah sudah hari belum terima sampai lupa shopee sudah bambang bambang sudah tanggung jawab ya
2020-09-10 05:08:42+00:00,@acitiar @ShopeeID @ninja_xpress_id barangnya jgn di klik sudah diterima dulu cit trus cek resi manual aja di google,barang jangan klik sudah terima dulu cit cek resi manual saja google
2022-03-14 12:59:11+00:00,"barang kali ada owner GO yang masih nyari admin packing, rekap, atau ada yang mau nitip paketnya dirumahku juga bisaa.

aku dom tangerang, deket ekspedisi jnt, jne, sicepat, antaraja, shopee xpress, id express, ninja xpress. kalau mau liat shopeeku bisa cek pinned yaa. thank you!",barang kali milik cari administrator emas mau titip paket bisa domisili tangerang dekat ekspedisi jnt jne sicepat shopee id express ninja mau lihat bisa cek ya terima kasih
2021-10-07 03:23:02+00:00,"UPDATE: ternyata paket gue RUSAK di perjalanan dan baru ada yang hubungin gue setelah dikomplain via email :) ga usah pake @ninja_xpress_id please @ShopeeID nunggu 5 hari tau-tau ga bisa dapet barangnya, harus ngajuin pengembalian dana sendiri pula (yang ga tau kapan diacc-nya) https://t.co/kVCM3fHhK7",baru paket rusak jalan baru hubung email tidak pakai tolong tunggu hari tahu tahu tidak bisa barang aju kembali dana sendiri tidak tahu nya
2020-10-28 07:45:28+00:00,Belanja di @ShopeeID nyoba make kurir ninja express @ninja_xpress_id udah 3 hari kok paket masih stuck di kota pengirim ya? Tolong dong @ShopeeCare gimana ini? https://t.co/GGAFuFR5lb,belanja coba pakai kurir ninja express sudah hari paket macet kota kirim ya tolong
2021-12-17 06:33:52+00:00,"@jogmfs blm semua🥲 yg udah baru yg pake shopee xpress, id xpress, anteraja. dari kmrn ga jalan dari tempat sortirnya masa :-(",belum sudah baru pakai shopee id anteraja kemarin tidak jalan tempat
2021-10-04 15:39:59+00:00,@ninja_xpress_id apakah benar tarif di @shopeeID ? https://t.co/5XUzkwsJs1,benar tarif
2021-05-23 05:35:14+00:00,"Kebetulan juga, hari ini saya terima e-mail Informasi dr @ninja_xpress_id bahwa paket pesanan saya dihilangkan mitra mereka. Via telpon @ShopeeID menyampaikan permohonan maaf &amp; menyarankan saya untuk mengajukan pengembalian dana via aplikasi &amp; paling lambat 25/5/2021 dana akan",betul hari terima informasi paket pesan hilang mitra telepon mohon maaf saran aju kembali dana aplikasi lambat dana
2021-10-13 10:07:40+00:00,"@ninja_xpress_id dan ini tuh bukti kalau paket sy sdh diterima dicounter kalian.

haduh, pls lah @ShopeeID @ShopeeCare evaluasi lg ekspedisi rekanan kalian. jgn cm krn murah, servicenya jd murahan!

mau pengaduan ke cs, sm cs nya mlh disuruh kirim bukti serah terima barang ini itu. https://t.co/obXQeFejAm",bukti paket sudah terima aduh tolong evaluasi ekspedisi rekan jangan murah murah mau adu layan langgan layan langgan nya suruh kirim bukti serah terima barang
2021-10-25 21:16:13+00:00,"@ionhearsumn @sicepat_ekspres @jntexpressid @JNE_ID @anteraja_id @ninja_xpress_id @idexpress_care Bulan september aku pesan baju di shopee, pake ekspedisi JnT.
Nyampe kosan emang ga rusak barangnya, cuman bungkusnya beneran kebuka, dan keliatan bgt disobek 🙄🙄🙄",bulan september pesan baju shopee pakai ekspedisi jnt sampai memang tidak rusak barang benar sekali sobek
2021-12-20 06:14:11+00:00,@ninja_xpress_id di cek di shopee juga ga gerak”. ini gimana ya kok lama banget ga sampe” barangnya. tolong segera di respon. https://t.co/daAtFx5LJy,cek shopee tidak gerak ya lama banget tidak sampai barang tolong segera respons
2021-11-02 03:33:27+00:00,"@dagangkorea Deket banyak ekspedisi shopee xpress, id express, j&amp;t, Jne, Ninja",dekat banyak ekspedisi shopee id express jnt jne ninja
2021-03-22 05:37:31+00:00,Luar biasa lemotnya @ninja_xpress_id. 😓😓 Gara gara @ShopeeID menghapus pilihan jasa pengiriman. The worst!,gara gara hapus pilih jasa kirim buruk
