CleanTweets,label
abah memang sicepat lambat sekali ya allah paket macet saja gudang tidak maju lebih baik pakai lain saja,negatif
abang abang anteraja hilang melulu ih pagi pagi banget baru bangun sudah tanya rumah tidak jawab ya jalan kakak sampai tidak datang datang jalan nya lama banget asa,negatif
abang abang jne lagi sih hari status proses astaga lama benar,negatif
abang jne sudah sampai gedor gedor pagar tidak sahut telepon tidak guna tulis nomor buat telepon aduh,negatif
abang jne tunggu pagi tidak datang datang awas besok tidak tunggu datang,negatif
abang jnt malam sampai jam berapa sih antar paket sudah kurir jam siang mau tidak tunggu sebentar takut jne jam malam muncul,negatif
abang sicepat mana si kira telepon tanya rumah sudah dekat rumah mana beli mi ayam tidak gara takut sampai pas beli mi ayam,negatif
ada cendera mata melulu lebih baik klarifikasi sih kirim paket lambat kasihan tahu banyak jual beli rugi mah uang pakai buat ada cendera mata melulu ya,negatif
administrator anteraja tidak balas sore barang kirim bogor kota bogor kabupaten barang sudah jakarta tanggal loh sampai jakarta bebas ongkos kirim tidak bisa pilih ya bosan pakai anteraja masalah,negatif
administrator banyak banget lala dan amburadul kerja jne,negatif
administrator belum sampai sampai ya administrator sudah hari senin,negatif
administrator bisa sampai salah rute layan turun,negatif
administrator bisa tolong cek resi nomor sudah hari tidak ubah status terima kasih,negatif
administrator cek pesan langsung paket tanggal januari belum sampai status tidak bisa kirim tahan jakarta timur macet situ melulu sudah hari tidak jalan,negatif
administrator cerita pakai hari sudah hari tidak sampai barang gawat administrator,negatif
administrator deh tidak gerak paket buat lebaran loh barang lain pesan bareng hari sudah sampai sangkut mana coba,negatif
administrator ekspedisi ninja express lagi ganggu memang jelek sih paket sudah sampai sampai belum sampai,negatif
administrator gosend sih jam tidak ambil,negatif
administrator gosend tidak ya sudah id nya mohon informasi,negatif
administrator halo paket tidak gerak lagi ya bekas jakarta lama banget tidak,negatif
administrator hari sampai loh pesan jakarta bogor pakai lama sih,negatif
administrator informasi kirim tanggal maret bandung bekas paket kirim belum sampai ya posisi paket sudah jne bekas tanggal april paket sudah bekas paket tidak lanjut terima,negatif
administrator jelek sekali jasa nya banyak ragu buat pakai jne,negatif
administrator jne belum kirim terima aplikasi sudah terima,negatif
administrator jnt express sebal banget tidak acuh sinis ganti coba,negatif
administrator kerja bebas ongkos kirim ya layan jelek lambat bisa hari pending tidak baru lebih baik kerja lain daring belah cepat ganti saja deh,negatif
administrator kirim barang banyuwangi banyuwangi barang tulis kirim jember tidak sampai orang jne salah kirim administrator mohon respons,negatif
administrator kirim tangerang tangerang pakai hari cepat beli china buset terlalu,negatif
administrator kota tangerang kabupaten tangerang butuh berapa haris sih sampai kantor tutup dokumen tidak sampai kecewa,negatif
administrator lelah sekali deh hubung jawab saja tidak buah hasil paket tanggal belum kirim anjing sampai,negatif
administrator mau sampai macet tangerang boleh tolong cek pesan ya,negatif
administrator mau tanya paket gagal kirim ya kerja shopee express nomor resi id,negatif
administrator mohon cek sudah hari paket endap bandar lampung,negatif
administrator niat buka jasa kurir tidak hari tidak baru tanya tidak tindak lanjut mau,negatif
administrator nomor resi status sudah hari posisi tangan kurir tidak gerak sampai dulu jadi tidak hilang barang rusak bisa urus,negatif
administrator paket belum sampai sampai sih,negatif
administrator paket belum sampai sampai tanggal pakai anteraja sudah mau lapor saja biar tidak nya,negatif
administrator paket gosend ku tidak tahu mana sopir nomor tidak aktif,negatif
administrator paket jakarta lewat batam administrator tolong bantu ekspedisi sudah parah banget,negatif
administrator paket kemarin macet tidak gerak sekali,negatif
administrator paket kirim sudah hari tidak jalan,negatif
administrator paket lama banget tidak kirim kirim akhir sudah hubung jakarta timur kemarin hari diam saja kirim administrator jakarta lama banget,negatif
administrator paket lama sekali ya,negatif
administrator paket macet tanggal,negatif
administrator paket nomor resi status sudah kirim barang belum terima sudah,negatif
administrator paket resi sampai nya estimasi tulis hari sampai sampai detik barang belum sampai jakarta status akhir kamis sampai belum ubah,negatif
administrator paket resi sudah rabu tidak gerak kirim lain lancar saja administrator,negatif
administrator paket saja sampai beda bulan tidak sampai kocak,negatif
administrator paket sudah datang jumat pagi belum antar sampai ya,negatif
administrator paket sudah kirim tanggal sampai belum sampai,negatif
administrator paket tidak datang ya kemarin administrator tidak antar kurir asa keluar rumah suka lihat kurir pesan tidak kirim gudang tidak hilang administrator,negatif
administrator paket tidak jalan jalan ya,negatif
administrator paket tidak lanjut ya sangkut jakarta malam pakai lanjut telepon layan langgan nya tidak bisa whatsapp tidak lanjut pesan langsung tidak respons,negatif
administrator paket tulis sudah terima bukti kirim hitam begitu pas ku cari rumah tidak ya orang rumah belum terima sekali tolong tindak lanjut ya administrator,negatif
administrator pesan langsung balas barang tidak gerak gudang transit sudah komplain tidak respons anteraja lama pesan pakai lain sudah sampai saja lama,negatif
administrator resi nomor sudah hari macet line haul udara batam barang buat teman hari sabtu barang malas pakai sicepat lagi,negatif
administrator resi status sudah terima sangkut belum,negatif
administrator respons solusional jangan suruh cek data nya,negatif
administrator sering muncul terang kirim paket gagal hari ya kira,negatif
administrator sih melulu kali tidak jelas banget,negatif
administrator status paket kirim tidak ubah ya sudah hari loh administrator jne,negatif
administrator sudah baru belum posisi barang mana sampai jne sendiri tidak tahu barang mana jawab proses mah tanya awal pas kirim sudah proses tolong terima kasih,negatif
administrator sudah hari kirim lama benar,negatif
administrator sudah pesan langsung jam lo whatsapp kemarin baru balas tidak respons lagi lama benar respons,negatif
administrator sudah pesan langsung nomor resi paket macet sih jne,negatif
administrator sudah pilih sangkut saja,negatif
