CleanTweets,label
abad pemudi tidak bisa pesan gosend,netral
abadi momen metal lagi jam an gosend tidak bisa keluar rumah siang siang sampai tertawa astaga terima kasih,netral
abang abang anteraja bosan tidak ya rumah melulu,netral
abang abang anteraja mau ambil tanya minggu acara tidak tertawa saja buat bahak,netral
abang abang anteraja niat sekali sampai video paket taruh mana,netral
abang abang anteraja sudah teman baik sekali pintu rumah,netral
abang abang ekspedisi jne teman si,netral
abang abang gosend antar tidak misuh uang kurang,netral
abang abang gosend jauh banget ambil paket tempat terima paket pensil,netral
abang abang gosend nya antar barang kencan coba,netral
abang abang grab express datang gopoh tenteng bingkis,netral
abang abang grab express pas lagi antar barang,netral
abang abang grabexpress lagi bonceng boneka boneka lucu mau mana ya jangan jangan rumah lagi tidak ulang tahun eh rumah pasti mau,netral
abang abang jne ayo cepat datang malu banget,netral
abang abang jne ayo segera antar kotak besar,netral
abang abang jne jangan ajak demo dulu paket saja tidak sampai astaga,netral
abang abang jne sudah tahu alamat ku hai,netral
abang abang kurir jnt sicepat bosan tidak ya bulan hari melulu antar,netral
abang abang kurir shopee express jnt ninja jne sudah kenal orang rumah deh,netral
abang abang ninja express benar ninja,netral
abang abang ninja express bingung lihat muka dp whatsapp beda sampai ragu mau kasih barang,netral
abang abang sicepat sudah hafal sampai antar paket lewat pintu tertawa tinggal abang abang ninja express tertawa,netral
abang daftar kurir ninja express biar lebih afdol antar barang pakai metode lompat atap atap lain,netral
abang dulu kirim pakai tiki uang rokok biaya es biru,netral
abang gosend ambil paket abang bilang dulu kakak bilang barang saja eh abang bicara orang terima kakak sembunyi pagar begitu tidak mau foto eh abang bilang ya jangan sembunyi kakak hati,netral
abang gosend depan anjing rumah tutup,netral
abang gosend maaf tidur moga abang tidak tunggu lama tonton,netral
abang grabexpress moga cepat ya sampai rumah kucing stok makan sudah habis,netral
abang habis telepon layan langgan jne malang perihal alamat bicara pulsa habis,netral
abang jne abang gojek grab paxel tiki sicepat tokopedia shopee janji jiwa terima kasih banget tahun,netral
abang jne ibu ibu paket ibu,netral
abang jne nya abang lawak tertawa bocah kecil panggil,netral
abang jne nya sih sampai malam,netral
abang jne whatsapp nya logo,netral
abang kurir jnt jne anteraja janji depan rumah,netral
abang kurir kakak jne bisa oke abang,netral
abang kurir senyum tanya,netral
abang kurir sicepat bilang begitu banyak antar barang tempat girang sekali tertawa,netral
abang paket id express ninja ketok pintu tidak bisa kalem abang paket jnt shopee express,netral
abang paket ninja express datang mau ambil ibu tanya ninja ya ninja ya ninja ya allah tidak tahu ketawa,netral
abang sicepat belum rumah,netral
abang sicepat mana sudah antuk sekali,netral
abang tirta bintang iklan ninja express,netral
abon sapi asli sapi campur kg rp bisa antar sampai rumah bayar tempat gosend bisa kirim domisili yogyakarta kakak kakak kenan mohon bantu administrator,netral
adik boleh langsung mampir tidak temu bisa kirim pesan langsung hubung shopee bayar bisa bayar tempat kirim hari sampai gosend grab shopee express,netral
administrator beli tas buat sekolah belum sampai sekolah nya sudah mau masuk,netral
administrator benar tiki layan barang dokumen kirim kirim tuju,netral
administrator bisa tolong kontak nomor nama depok tidak ya mau kasih tahu alamat rumah baru saja pindah kemarin biar tidak bingung terima kasih,netral
administrator cek pesan langsung,netral
administrator cek pesan langsung kurir saja eh maksud,netral
administrator cek pesan langsung ya,netral
administrator gudang jne buka sampai jam berapa,netral
administrator hari minggu antar,netral
administrator jne bandung mana ya alamat nya,netral
administrator jne layan kirim madu antar pulau,netral
administrator jne pas natal tahun baru kirim tidak,netral
administrator jual aktif paket bisa kirim agen ninja nya tidak ambil,netral
administrator langgan rangkul sudah mah orang tidak uang administrator tidak kirim paket pakai jne,netral
administrator lebih baik lewat pesan langsung sih identitas,netral
administrator mau jawab ongkos kirim grabexpress ribu,netral
administrator mau kerja gerai sicepat ya nya,netral
administrator mau kirim paket sicepat pusat belanja,netral
administrator mau tanya kantor cabang jne area semarang layan mana saja ya terima kasih,netral
administrator mau tanya lewat pesan langsung,netral
administrator mau tanya paket lagi,netral
administrator mau tanya paket sampai mana ya nomor resi nya,netral
administrator mau tanya resi sicepat terus shopee express id resi shopee express nya,netral
administrator mau tanya salah jual lokapasar tokopedia sicepat terima kirim tanam hias syarat,netral
administrator mau ubah resi kirim jnt tidak bisa kirim pakai jnt ya bayar ongkos kirim jne nya langsung potong saldo jual terima kasih,netral
administrator paket ku mana,netral
administrator resi kirim malam besok,netral
administrator resi sudah sampai mana ya,netral
administrator selamat mau tanya ya,netral
administrator semarang berangkat besok bisa tidak hari sampai surabaya,netral
